root_id,root_type,description,Meaning
1,P,a,"not, without"
2,P,ab,"away, from, by, off, not, bad"
3,P,ac,"to, toward, near, tending to; with regard to"
5,P,an,"not, without"
6,P,"ant, ante",before
8,P,anti,"against, before, instead of, opposite"
13,P,"ben, bene","good, well"
14,P,"bi, bin, bis","two, twice, double"
15,P,"bi, bio","life, living matter"
1137,R,"ceas, ceas(e), ced, ceed, cess","go, move, yield, withdraw, come to an end"
20,P,"circa, circum",around
21,P,con,"together, with"
24,P,de,"reverse, remove, without, undo"
29,P,di,two
30,P,"di, di(f)","not, apart, aside, away, between, in different directions"
31,P,"di, dia","through, between, apart, across"
4265,R,"sy, syl, sym, syn","together, with, same"
33,P,dicho,"number two, in two, asunder, unalike, divided, twice"
34,P,dif,"not, apart, in every direction"
35,P,"dis, s","apart, away, out, opposite, not, lack of, completely, in different directions"
40,P,en,"in, within, on, put, upon, at, cause to be, make"
41,P,endo,within
43,P,ex,"out of, from, off, forth, up, thoroughly"
45,P,geo,"earth, soil"
52,P,hyper,over
54,P,"hyp, hypo","under, low, together"
55,P,il,not
56,P,im,"not, opposite of"
58,P,in,"not, opposite of, against, without"
59,P,inter,"between, among, here and there, within, in"
60,P,intra,within
61,P,intro,"in, into"
67,P,"mal, male, mal(a)","bad, evil, wrong"
72,P,"mill, milli","thousand, thousandth"
74,P,mis,"bad, wrongly"
75,P,"mon, mono",one
78,P,non,not
80,P,omni,all
82,P,"pan, panto",all
86,P,"phil, philo",love
87,P,photo,light
89,P,poly,many
91,P,"pr, pre","before, forth, in front"
92,P,pro,"for, on behalf of, in place of, instead of"
93,P,pro,"before, beforehand, in front, forward, down, forth, ahead"
100,P,"r, re","back, again, anew, away"
104,P,"retro, rear",backward
106,P,"s, se","aside, apart from, without, astray"
107,P,semi,"half, partly"
108,P,sept,seven
110,P,"s, sub","under, up to, below, beneath, to the foot of"
111,P,suf,"under, support, from below, up to, at the foot of"
2932,P,"el, el(i)",out
113,P,sur,"over, above, more, beyond, upon"
4290,S,eam,that which
4287,S,ity,one who
118,P,"tran, trans","across, through, over, beyond"
119,P,"tri, tri(um)",three
121,P,un,not
4262,R,"sci, scia, sq",shadow
132,R,"ac, acro, acm","top, height, tip, end, extreme; point"
133,R,act,"do, act"
134,R,"aer, aero, air, ar",air
137,R,"agr, agri, agro, egr, gri(m)","farming, field, country, wild"
141,R,"alg, odyn","pain, grief, distress"
143,R,"all, allel, allel(e), allel(o)","one another, of one another, different"
147,R,"amb, ambl, ambul","walk, take steps, move, go around, go"
148,R,"amen, ami, amic, em, imic, m",friend
150,R,amphi,"both, on both sides, around, two ways"
153,R,"ander, andr, andro",man
1100,P,andro,man
155,R,anim,"life, spirit, soul, breath, anger, pride"
3537,S,ure,"to, to make, do"
3536,R,"talisman, telo, teleo, toll","end, aim; complete, perfect, consecrate, tax"
159,R,"anci, ante, ante(r), van, van(ce), van(t)","before, in front"
161,R,antho,flower
163,R,"anthrop, anthropo, pithec","human, man, ape, monkey"
166,R,apo,"away, off, from, separate, forth"
1108,S,an,"person, that which"
