word_id,root_id,sequence,sequence_2
17,118,1,NULL
14,1103,3,NULL
33,878,3,NULL
1470,100,1,NULL
17,133,2,NULL
12,2,1,NULL
12,204,2,NULL
12,822,3,NULL
48,840,3,NULL
48,951,2,NULL
48,954,1,NULL
55,1097,2,2
22,148,1,NULL
22,803,2,NULL
18,1008,1,NULL
18,953,2,NULL
20,944,3,NULL
20,954,1,NULL
20,963,2,NULL
23,1005,1,NULL
23,467,2,NULL
24,404,2,NULL
24,4123,3,NULL
25,823,2,NULL
25,962,1,NULL
26,2241,2,NULL
26,396,1,NULL
27,170,1,NULL
27,171,2,NULL
28,822,2,NULL
28,1006,1,NULL
29,232,2,3
29,967,1,2
30,968,1,1
31,897,2,1
31,1750,1,2
32,809,2,NULL
32,970,1,NULL
33,971,2,NULL
33,717,1,NULL
725,840,3,NULL
34,188,1,NULL
35,815,2,NULL
35,974,1,NULL
36,3929,2,NULL
37,976,2,NULL
37,194,1,NULL
53,842,3,NULL
53,194,1,NULL
53,1526,2,NULL
39,842,3,NULL
39,788,2,NULL
39,4276,1,NULL
40,979,2,NULL
1414,340,1,NULL
41,884,2,NULL
41,204,1,NULL
42,869,2,NULL
42,4027,1,NULL
43,4129,2,NULL
43,609,1,NULL
44,983,1,1
45,2522,1,NULL
264,985,2,NULL
264,2522,1,NULL
46,986,1,NULL
46,1477,2,NULL
47,987,3,NULL
47,21,1,NULL
47,1459,2,NULL
58,1709,1,NULL
262,155,1,NULL
262,990,2,NULL
61,994,2,NULL
59,992,1,NULL
6982,814,3,NULL
62,993,1,NULL
62,994,2,NULL
63,134,1,NULL
64,1621,1,NULL
67,4055,2,NULL
68,998,1,1
6982,1391,2,NULL
71,999,1,NULL
74,3464,2,NULL
74,1002,1,NULL
34,1064,3,NULL
669,1008,1,NULL
669,1009,2,NULL
268,155,2,NULL
268,884,3,NULL
268,1125,1,NULL
271,823,3,NULL
271,1011,2,NULL
271,43,1,NULL
272,1072,3,NULL
272,1012,2,NULL
670,2891,2,NULL
670,1014,1,NULL
670,1945,3,NULL
275,1017,3,0
6070,3307,2,1
275,1015,1,0
671,1076,3,NULL
671,201,1,NULL
671,4265,2,NULL
673,35,1,NULL
673,897,3,NULL
673,1018,2,NULL
674,812,3,NULL
674,3594,2,NULL
674,78,1,NULL
675,880,3,NULL
675,240,2,NULL
675,1020,1,NULL
279,1064,3,NULL
279,1367,2,NULL
725,478,2,NULL
270,35,1,NULL
280,1023,2,NULL
4480,842,2,NULL
281,24,2,NULL
281,58,1,NULL
281,803,4,NULL
281,1025,3,NULL
283,248,3,NULL
283,722,2,NULL
283,864,4,NULL
284,248,2,NULL
284,20,1,NULL
285,1823,3,NULL
285,43,1,NULL
286,814,3,NULL
286,253,2,NULL
286,782,1,NULL
287,91,1,NULL
287,2177,2,NULL
676,1030,1,NULL
676,256,3,NULL
305,3916,4,NULL
677,2177,2,NULL
290,937,3,NULL
290,1031,1,NULL
290,3005,2,NULL
678,2101,2,NULL
678,260,1,NULL
292,3,1,NULL
292,806,3,NULL
292,1033,2,NULL
293,1035,2,NULL
293,1034,1,NULL
294,4085,3,NULL
294,1034,2,NULL
295,1037,1,NULL
725,340,1,NULL
296,21,1,NULL
296,1038,2,NULL
298,1064,3,NULL
298,58,1,NULL
724,1064,3,NULL
299,1041,3,NULL
299,270,2,NULL
299,1040,1,NULL
679,340,2,NULL
679,271,1,NULL
680,273,2,NULL
680,74,1,NULL
302,273,1,NULL
302,840,2,NULL
303,1044,2,NULL
303,273,1,NULL
303,884,3,NULL
681,35,1,NULL
681,1018,2,NULL
681,3785,3,NULL
682,1018,2,NULL
682,100,1,NULL
682,822,3,NULL
307,275,1,NULL
307,869,2,NULL
683,1047,1,NULL
683,2298,2,NULL
309,276,1,NULL
309,824,2,NULL
310,1048,3,NULL
310,1050,2,NULL
310,91,1,NULL
311,21,1,NULL
311,1050,2,NULL
312,841,2,NULL
312,1050,1,NULL
313,1048,2,NULL
313,1050,1,NULL
684,35,1,NULL
684,1394,2,NULL
685,822,2,NULL
685,1053,1,NULL
318,2984,1,NULL
724,478,2,NULL
319,878,2,NULL
319,1688,1,NULL
686,2127,2,NULL
686,285,1,NULL
321,297,1,NULL
321,1056,2,NULL
322,297,2,NULL
322,897,3,NULL
824,624,2,NULL
323,987,3,NULL
323,1871,2,NULL
323,91,1,NULL
324,300,1,NULL
324,872,2,NULL
325,58,1,NULL
325,803,3,NULL
325,1467,2,NULL
326,40,1,NULL
326,1060,2,NULL
824,647,1,NULL
1908,1709,2,NULL
327,1061,2,0
327,5,1,0
1908,4055,3,NULL
687,1709,3,NULL
687,1061,2,NULL
328,1063,1,2
328,1064,2,1
353,1795,2,NULL
353,4286,3,NULL
353,535,1,NULL
354,878,2,1
354,1066,1,2
689,864,3,NULL
689,1795,2,NULL
8927,2933,2,NULL
351,823,2,NULL
351,1068,1,NULL
350,4086,4,NULL
350,1071,3,NULL
350,993,2,NULL
3481,1344,1,1
690,1070,1,NULL
690,1071,2,NULL
692,1073,2,NULL
692,59,1,NULL
692,822,3,NULL
346,332,1,NULL
346,1076,2,NULL
345,467,1,NULL
345,331,2,NULL
344,987,3,NULL
344,1077,2,NULL
344,2,1,NULL
343,843,2,NULL
343,1077,1,NULL
3254,1551,2,NULL
338,803,2,NULL
693,1079,2,NULL
693,4085,3,NULL
694,823,4,NULL
694,326,3,NULL
1821,636,2,NULL
336,2131,2,NULL
336,58,1,NULL
335,1082,2,NULL
335,1081,1,NULL
334,809,3,NULL
334,1081,1,NULL
333,1084,1,1
331,450,3,NULL
331,467,2,NULL
331,1061,1,NULL
330,882,3,NULL
330,1590,2,NULL
330,1085,1,NULL
695,362,1,NULL
696,845,2,NULL
698,1089,2,NULL
698,58,1,NULL
